doc_id,cited_by_count,topic,topic_weight,topic_label,hex_colour,topic x,topic y
29,36,11,0.04533866607016907,11: [n=194] platelet|thrombocytopenia|count|bleeding|transfusion|platelets|blood|counts|group|mean,#dcbeff,8.690693,2.3923965
30,41,14,0.06431842984090291,14: [n=134] children|shock|years|severity|age|severe|hepatic|liver|dysfunction|dss,#800000,4.3556433,2.917594
31,62,3,0.08315116220295742,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.2560518,11.09894
32,59,12,0.04660537903200506,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,-3.9369175,4.128523
33,58,7,0.015976747956665784,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.467983,6.5275507
34,40,14,0.12786311932664782,14: [n=134] children|shock|years|severity|age|severe|hepatic|liver|dysfunction|dss,#800000,4.5611787,2.7340834
35,43,6,0.19659018922445315,6: [n=127] de|la|en|el|del|que|los|se|para|da,#42d4f4,2.2277498,4.151166
36,52,18,0.048339665104716836,18: [n=122] typhus|scrub|malaria|febrile|leptospirosis|acute|illness|infections|diagnosis|thrombocytopenia,#000075,6.6997046,4.986495
37,67,3,0.07305387313741724,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.6355007,11.573926
38,61,19,0.023094393498736404,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.4352293,3.0205584
39,60,0,0.04835332119170814,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,5.484069,7.6424737
40,46,16,0.06327986336700608,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,1.4338923,7.8985157
41,56,0,0.05184989593169077,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,2.8708208,7.230732
42,50,13,0.030120826917803996,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,2.0668004,9.73933
43,33,9,0.044156716640873325,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,5.7173343,8.251011
44,51,3,0.062373441492907404,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-0.6073885,12.082611
45,62,9,0.054096412607737475,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.8926497,8.075059
46,37,19,0.06900483865894454,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,5.0355234,4.42023
47,42,12,0.16968459193326257,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.564521,5.3551636
48,36,7,0.12927299218547708,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.989865,5.709714
49,50,12,0.05503649269924592,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.692088,4.42834
50,63,3,0.08973446393330677,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.5693736,12.03037
51,54,5,0.02796609675088024,5: [n=247] knowledge|prevention|attitude|practices|regarding|respondents|practice|among|students|community,#911eb4,1.5726444,9.201698
52,46,16,0.03842454344449412,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,1.0691153,6.203486
53,56,12,0.16779695509823409,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.7497635,5.541615
54,36,10,0.1325171756273313,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.07952459,12.110708
55,54,10,0.07867899252722753,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.77599156,12.2478485
56,438,9,0.09156506619807854,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,7.3443875,8.472636
57,36,10,0.11585890508179533,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.0460802,12.2042675
58,35,13,0.01983794801309262,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,1.8352356,9.639255
59,43,12,0.046237314449266737,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.906541,5.037855
60,52,14,0.08349843736632266,14: [n=134] children|shock|years|severity|age|severe|hepatic|liver|dysfunction|dss,#800000,4.024179,2.6589081
61,33,15,0.11131416066815657,15: [n=205] zika|zikv|chikungunya|yellow|viruses|microcephaly|flavivirus|nile|brazil|west,#aaffc3,5.2096252,11.816263
62,33,2,0.05161210018051004,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.810633,2.412157
63,39,12,0.04793070442606724,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.784487,5.5113077
64,37,12,0.17396266389714551,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.922286,5.533915
65,37,7,0.04425701658227669,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.0011587,6.6584826
66,35,7,0.0905414175972462,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.609652,6.6228395
67,33,12,0.16371389050907068,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.344459,5.0457554
68,36,9,0.024137077922088218,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.455109,8.58789
69,31,10,0.11786001002646367,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.543237,11.774123
70,37,12,0.21961094872127168,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,10.025704,5.5992875
71,37,10,0.0882060269758705,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.8382546,12.277464
72,43,3,0.03819296613267685,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-1.0864818,10.743278
73,41,18,0.09341464168695403,18: [n=122] typhus|scrub|malaria|febrile|leptospirosis|acute|illness|infections|diagnosis|thrombocytopenia,#000075,4.8080797,7.018757
74,196,6,0.16428821419566042,6: [n=127] de|la|en|el|del|que|los|se|para|da,#42d4f4,2.330449,4.2298827
75,35,2,0.04348845452358988,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.87938,2.611264
76,23,0,0.030224194853200187,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,2.1457088,8.231282
77,32,10,0.10351241462056836,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.003338476,11.455786
78,36,8,0.05148024356371959,8: [n=51] tertiary|care|hospital|india|centre|admitted|profile|south|center|teaching,#bfef45,3.676263,3.727369
79,39,12,0.1632001275733172,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.6991415,5.4655514
80,33,11,0.18249622485209055,11: [n=194] platelet|thrombocytopenia|count|bleeding|transfusion|platelets|blood|counts|group|mean,#dcbeff,7.6157947,1.204585
81,28,12,0.11620035528631817,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.824369,5.725496
82,36,0,0.03233488654821548,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,-0.014175051,9.673564
83,54,5,0.1401959580130819,5: [n=247] knowledge|prevention|attitude|practices|regarding|respondents|practice|among|students|community,#911eb4,-3.6738744,4.267083
84,26,9,0.03527252840314263,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,7.145936,6.7644305
85,47,13,0.04025041231565319,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,1.9101626,9.765742
86,37,17,0.013340524812628476,17: [n=359] index|research|incidence|larvae|density|city|village|community|container|area,#ffd8b1,-0.32911468,8.598806
87,34,8,0.03550580357812862,8: [n=51] tertiary|care|hospital|india|centre|admitted|profile|south|center|teaching,#bfef45,3.6302722,3.7202353
88,49,12,0.08064457350302053,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.603429,6.001224
89,38,10,0.08849892182555089,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.92949563,11.163784
90,39,0,0.013822272472992338,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,3.063421,8.741914
91,33,4,0.13809880611445927,4: [n=234] extract|larvae|aegypti|ppm|concentration|leaf|extracts|leaves|larvicidal|papaya,#f58231,0.49603486,3.3538597
92,46,13,0.02282466903451316,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,2.3424976,10.139457
93,42,10,0.08338211873687024,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.7713257,12.340678
94,45,13,0.04245083539532483,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,4.599548,8.837391
95,23,2,0.07042985536411984,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.579136,2.0714097
96,18,2,0.0025826701861518878,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,11.401098,2.4391973
97,30,3,0.062431356669603796,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.0381095,11.5261545
98,34,2,0.03951639064188312,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.735636,2.165751
99,30,12,0.1261299607198767,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,10.003487,5.7088027
100,30,19,0.024542581381577864,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.9102383,2.6380541
101,28,16,0.06703674629070475,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,1.391315,7.1825414
102,44,12,0.05491785996460274,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.009395,5.525595
103,24,0,0.05123984534856192,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,3.2491486,7.3199506
104,28,7,0.07641375894273589,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,5.652283,5.8687377
105,25,0,0.016610982688787083,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,5.642137,7.664523
106,37,12,0.12539592506594618,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,10.684412,4.825479
107,28,9,0.053734711007113904,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,5.069588,8.970026
108,28,3,0.11416128394797474,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-1.6348298,11.8555765
109,28,2,0.0595780713663532,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.32547,1.9965726
110,32,2,0.044776854655980955,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,11.154362,2.5152903
111,25,10,0.025550029401483477,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.0137966,10.12934
112,40,12,0.19353252495334286,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.794711,5.6153164
113,28,0,0.02826372112875333,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,-0.078676894,9.781096
114,30,10,0.0889964710956079,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.0133511,11.88263
115,25,13,0.010593245238567254,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,2.1908388,8.462207
116,42,12,0.057414502956758366,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.222373,3.8946435
117,42,19,0.06810233728473358,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,5.270809,3.9184923
118,19,12,0.11816723430402061,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.421381,5.37755
119,25,10,0.01316625339680311,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.2185652,9.947868
120,18,2,0.07238205212341611,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,11.195536,2.5011582
121,26,16,0.010931585304935555,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,1.010755,8.546004
122,28,7,0.047860487463574124,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.02897,6.81706
123,17,19,0.08986906299191237,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.843291,1.904111
124,31,11,0.10004989625653224,11: [n=194] platelet|thrombocytopenia|count|bleeding|transfusion|platelets|blood|counts|group|mean,#dcbeff,7.225045,0.3399772
125,40,9,0.056978741930186004,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,8.331109,7.977991
126,15,2,0.04425934971079083,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,9.960929,1.8788686
127,19,19,0.02014701405184435,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.4296794,3.6168525
128,27,7,0.05257595318424346,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.6601954,6.334494
129,15,19,0.035852956154169974,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.909277,2.994189
130,21,13,0.03152810934937705,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,5.2547965,8.998997
131,20,14,0.3382009628579558,14: [n=134] children|shock|years|severity|age|severe|hepatic|liver|dysfunction|dss,#800000,3.0076044,2.4361367
132,36,5,0.06599258998944013,5: [n=247] knowledge|prevention|attitude|practices|regarding|respondents|practice|among|students|community,#911eb4,-3.40465,5.567274
133,33,3,0.06995885690235572,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.5130646,12.015407
134,23,0,0.026777281689253304,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,0.62073845,10.6096115
135,20,10,0.02359007805127369,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.2816141,11.301108
136,24,12,0.06833906999364536,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,8.247871,4.898786
137,20,0,0.014237352161485972,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,1.1500965,9.193958
138,35,13,0.06666519119936427,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,4.494786,8.409437
139,23,4,0.07044955017828204,4: [n=234] extract|larvae|aegypti|ppm|concentration|leaf|extracts|leaves|larvicidal|papaya,#f58231,0.21571484,4.1377864
140,26,12,0.04656923629349492,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.507039,4.5309725
141,36,12,0.10443414110182375,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,10.19003,5.8081803
142,17,3,0.06804702807014745,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-1.8182153,10.2078
143,32,13,0.05929313521980145,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,4.731366,7.1391377
144,45,16,0.07071794691796367,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,0.7932366,7.1178894
145,17,10,0.14100878327099692,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,1.2682083,12.715638
146,23,10,0.036516038980374636,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.4833795,10.725325
147,34,4,0.052760139912847906,4: [n=234] extract|larvae|aegypti|ppm|concentration|leaf|extracts|leaves|larvicidal|papaya,#f58231,0.1893889,4.5976677
148,27,18,0.08007010689513921,18: [n=122] typhus|scrub|malaria|febrile|leptospirosis|acute|illness|infections|diagnosis|thrombocytopenia,#000075,6.146886,6.690969
149,29,5,0.12257767030228695,5: [n=247] knowledge|prevention|attitude|practices|regarding|respondents|practice|among|students|community,#911eb4,-4.559345,4.4926066
150,21,0,0.024367757941780265,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,2.4853323,8.366614
151,24,0,0.02981133847198035,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,0.008015669,9.869979
152,25,7,0.07088188423805063,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,7.2970486,5.539314
153,18,2,0.04247272383776816,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,9.06103,2.9100146
154,27,3,0.10835172015027672,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-0.8261977,12.300789
155,28,5,0.07526988681544816,5: [n=247] knowledge|prevention|attitude|practices|regarding|respondents|practice|among|students|community,#911eb4,-3.643346,4.8024116
156,16,2,0.08243589601250688,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.4997225,2.9554288
157,27,19,0.08047290667948095,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,6.373727,7.5036187
158,52,4,0.10726625398692646,4: [n=234] extract|larvae|aegypti|ppm|concentration|leaf|extracts|leaves|larvicidal|papaya,#f58231,0.42668444,4.7996273
159,20,2,0.08746852751439,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.882843,2.7158818
160,29,12,0.15084200937402964,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.6890135,5.55405
161,25,16,0.04858549094546631,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,1.5948522,6.5784826
162,23,17,0.049469565958891924,17: [n=359] index|research|incidence|larvae|density|city|village|community|container|area,#ffd8b1,-0.44719458,9.343114
163,26,13,0.020265140658000964,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,1.9603579,9.984874
164,23,3,0.02203071413631271,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-1.2589322,11.354639
165,23,9,0.08403997854025919,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.3094783,7.9477234
166,26,12,0.08928364053270928,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.7105,5.949751
167,22,0,0.030213508590883655,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,4.754959,7.8625464
168,36,9,0.02545924868902737,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.6679573,3.7031739
169,20,8,0.06549909618125427,8: [n=51] tertiary|care|hospital|india|centre|admitted|profile|south|center|teaching,#bfef45,3.8339117,1.2333415
170,13,17,0.02306544718907558,17: [n=359] index|research|incidence|larvae|density|city|village|community|container|area,#ffd8b1,0.92163366,9.370816
171,33,16,0.05712517167536921,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,0.83740497,6.8007216
172,26,10,0.10356873360782037,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.854495,12.27234
173,19,8,0.08211411585720278,8: [n=51] tertiary|care|hospital|india|centre|admitted|profile|south|center|teaching,#bfef45,4.7360816,0.7990246
174,15,0,0.001239965689990705,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,2.5430994,6.9967256
175,26,2,0.035680054528669604,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,9.756059,3.0107985
176,20,14,0.02941054206361116,14: [n=134] children|shock|years|severity|age|severe|hepatic|liver|dysfunction|dss,#800000,3.0878723,3.4781597
177,22,7,0.06893211280655742,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.242798,4.899355
178,29,7,0.09983449611979019,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.874183,5.807161
179,14,2,0.08007013762390587,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.26517,3.0333297
180,24,19,0.014997791005314811,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,5.593271,7.979902
181,17,2,0.0617292698302024,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,6.5894995,2.5153222
182,36,7,0.08329068071119698,7: [n=215] igm|ns1|positive|igg|samples|elisa|antigen|antibodies|detection|test,#f032e6,6.9781013,5.709034
183,20,10,0.05838582119260244,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,-0.40362513,11.014672
184,24,12,0.17315642506913154,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.416942,4.7984877
185,24,13,0.02463327882939438,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,3.392211,9.043811
186,17,12,0.02782702511738371,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,-0.3781177,9.304461
